,Town,Centroide,Percentil,D_long,D_lat
171,Andoain,POINT (-2.0216752474978565 43.21549218720727),1,-2.0216752474978565,43.21549218720727
172,Andoain,POINT (-2.0313449471148015 43.209752707287514),4,-2.0313449471148015,43.209752707287514
173,Andoain,POINT (-2.0304986963407283 43.20896726750929),4,-2.0304986963407283,43.20896726750929
174,Andoain,POINT (-2.021046809995304 43.2159140442828),4,-2.021046809995304,43.2159140442828
175,Andoain,POINT (-2.023070981896578 43.22042094672283),2,-2.023070981896578,43.22042094672283
176,Andoain,POINT (-2.0233982534601593 43.212779823225176),4,-2.0233982534601593,43.212779823225176
177,Andoain,POINT (-2.0321665612839634 43.2124590763586),4,-2.0321665612839634,43.2124590763586
178,Andoain,POINT (-2.0227093387003725 43.22180590017493),1,-2.0227093387003725,43.22180590017493
179,Andoain,POINT (-2.0208296637319045 43.21752047644773),1,-2.0208296637319045,43.21752047644773
180,Andoain,POINT (-2.030350203610571 43.20907455834302),4,-2.030350203610571,43.20907455834302
181,Andoain,POINT (-2.021444569804574 43.21682002356288),1,-2.021444569804574,43.21682002356288
182,Andoain,POINT (-2.0223043848733853 43.21399718149283),4,-2.0223043848733853,43.21399718149283
183,Andoain,POINT (-2.022952231520385 43.22066788388831),2,-2.022952231520385,43.22066788388831
184,Andoain,POINT (-2.0214186126782083 43.218377518695505),2,-2.0214186126782083,43.218377518695505
185,Andoain,POINT (-2.0348676278562166 43.211690637657846),4,-2.0348676278562166,43.211690637657846
186,Andoain,POINT (-2.0194677873907234 43.21969403892718),1,-2.0194677873907234,43.21969403892718
187,Andoain,POINT (-2.0132332567884483 43.22427234072141),3,-2.0132332567884483,43.22427234072141
188,Andoain,POINT (-2.0231255850319427 43.21317766133673),4,-2.0231255850319427,43.21317766133673
189,Andoain,POINT (-2.021364518773885 43.22028636244921),2,-2.021364518773885,43.22028636244921
190,Andoain,POINT (-2.0191920006367305 43.21781771849216),4,-2.0191920006367305,43.21781771849216
191,Andoain,POINT (-2.0251437477494987 43.22324505571226),1,-2.0251437477494987,43.22324505571226
192,Andoain,POINT (-2.0232214539247595 43.220169157330616),2,-2.0232214539247595,43.220169157330616
193,Andoain,POINT (-2.024418599631171 43.222537674713635),1,-2.024418599631171,43.222537674713635
194,Andoain,POINT (-2.0170387474978893 43.21946041486078),3,-2.0170387474978893,43.21946041486078
195,Andoain,POINT (-2.0267824590003456 43.223654593241505),1,-2.0267824590003456,43.223654593241505
196,Andoain,POINT (-2.024504945357876 43.212952226816896),4,-2.024504945357876,43.212952226816896
197,Andoain,POINT (-2.0181670512721688 43.217201065631436),4,-2.0181670512721688,43.217201065631436
198,Andoain,POINT (-2.020631127806563 43.22111932621437),1,-2.020631127806563,43.22111932621437
199,Andoain,POINT (-2.0329095147970384 43.212155536124364),4,-2.0329095147970384,43.212155536124364
200,Andoain,POINT (-2.0215592942280134 43.21807350022312),2,-2.0215592942280134,43.21807350022312
201,Andoain,POINT (-2.024213806542226 43.21313473552771),4,-2.024213806542226,43.21313473552771
202,Andoain,POINT (-2.020997659904406 43.2203598487352),1,-2.020997659904406,43.2203598487352
203,Andoain,POINT (-2.0228198523451897 43.220159463915174),2,-2.0228198523451897,43.220159463915174
