,Town,D_lat,D_long
228,Donostia/San Sebastian,43.30259824417561,-2.0118999364565444
229,Donostia/San Sebastian,43.31655342482418,-1.9848810712957423
230,Donostia/San Sebastian,43.32031817752954,-1.943411318927674
231,Donostia/San Sebastian,43.32017380497583,-1.9209416069006207
232,Donostia/San Sebastian,43.322588164324934,-1.9840712945170902
233,Donostia/San Sebastian,43.31184227377728,-1.992436225140203
234,Donostia/San Sebastian,43.32290455227859,-1.9762730598621079
235,Donostia/San Sebastian,43.30634261383516,-1.9802984155413808
236,Donostia/San Sebastian,43.296777751344116,-2.008317874610272
237,Donostia/San Sebastian,43.307998843331895,-1.9712117458208143
238,Donostia/San Sebastian,43.299159801907216,-1.9447289959511356
239,Donostia/San Sebastian,43.30783074287743,-2.008455997697611
240,Tolosa,43.150912569417486,-2.0707704034459713
241,Tolosa,43.13690497627318,-2.0746232582218362
242,Tolosa,43.12653312772387,-2.0831548029893443
243,Tolosa,43.12870307392567,-2.0804863268395923
244,Tolosa,43.13432155529843,-2.0741098817229138
245,Tolosa,43.133240845164615,-2.084366703208082
246,Tolosa,43.132775312820684,-2.079797476699468
247,Tolosa,43.138097338843096,-2.0719222228149516
248,Tolosa,43.13558931314651,-2.0807487288881807
249,Tolosa,43.13880460271967,-2.0730748064797737
250,Tolosa,43.147343073274065,-2.0713317524175454
251,Tolosa,43.12585041741516,-2.0804341476406973
252,Urnieta,43.24254517387358,-1.9902404221553014
253,Urnieta,43.23843656006834,-2.000084310330793
254,Urnieta,43.23844743038129,-1.9943024201684827
255,Urnieta,43.2455368434464,-1.9942300408995255
256,Urnieta,43.24775663793236,-1.9902445842461307
257,Urnieta,43.24023342636492,-1.99199601397193
258,Urnieta,43.23611341641387,-2.0008407579048315
259,Urnieta,43.237541613144636,-1.9926902468478274
260,Usurbil,43.27735238765948,-2.0250207706940135
261,Usurbil,43.269099565093676,-2.053251174886912
262,Usurbil,43.2719633543846,-2.0412681906357317
263,Usurbil,43.27124162930392,-2.0699579873715366
264,Usurbil,43.27253423984491,-2.0554203612698845
265,Usurbil,43.269880881651204,-2.04497607580955
266,Usurbil,43.267912557275146,-2.0617297531295575
267,Usurbil,43.26630225447646,-2.0494502926609264
268,Bergara,43.11745196817229,-2.4130485650862203
269,Bergara,43.12742267907587,-2.421649524905496
270,Bergara,43.104149398514025,-2.4236082249605584
271,Bergara,43.128272086629394,-2.434377095759179
272,Bergara,43.10381126130921,-2.431225968182055
273,Bergara,43.12368257457349,-2.4231828804241102
274,Bergara,43.09997291092847,-2.4270247734235997
275,Bergara,43.11375319357247,-2.41499489681141
276,Bergara,43.13234834068129,-2.421679488494868
277,Bergara,43.13113956181587,-2.4385885135960246
278,Bergara,43.13385220380564,-2.4304024816449856
279,Bergara,43.10930241019078,-2.421051064839126
280,Villabona,43.18712385599055,-2.053102089069523
281,Villabona,43.20178030338874,-2.0386754843519936
282,Villabona,43.17730101877098,-2.056422727528043
283,Villabona,43.182186228389455,-2.0559952843925253
284,Villabona,43.17996120947373,-2.0542330706513683
285,Villabona,43.180624806978614,-2.056327565879852
286,Villabona,43.177218397867115,-2.0550625151472226
287,Villabona,43.187660875577464,-2.053773771335821
288,Ordizia,43.054592155199856,-2.180699333885956
289,Ordizia,43.052157386128094,-2.174759652848935
290,Ordizia,43.047185383451755,-2.184077332486524
291,Ordizia,43.04938144859165,-2.1807686476850585
